benchmark,N,sequential_baseline_s,P,TALM_time_s,TALM_speedup,GHC_Strategies_time_s,GHC_Strategies_speedup,GHC_par_pseq_time_s,GHC_par_pseq_speedup
lcs_wavefront,20000,1.7,2,0.89,1.95,1.19,1.46,1.31,1.33
lcs_wavefront,20000,1.7,4,0.79,2.20,1.14,1.52,1.21,1.43
lcs_wavefront,20000,1.7,8,0.48,3.62,1.15,1.51,1.07,1.63
lcs_wavefront,20000,1.7,16,0.37,4.05,1.03,1.69,1.35,1.29
lcs_wavefront,50000,9.5,2,4.69,2.02,7.00,1.35,6.80,1.39
lcs_wavefront,50000,9.5,4,2.99,3.17,5.72,1.66,6.81,1.39
lcs_wavefront,50000,9.5,8,2.75,3.45,3.44,2.76,6.85,1.38
lcs_wavefront,50000,9.5,16,1.69,5.60,2.39,3.97,7.41,1.28
lcs_wavefront,100000,36.7,2,20.84,1.75,27.99,1.31,28.33,1.30
lcs_wavefront,100000,36.7,4,12.95,2.84,15.53,2.36,28.13,1.31
lcs_wavefront,100000,36.7,8,8.90,4.13,11.79,3.12,28.09,1.31
lcs_wavefront,100000,36.7,16,6.54,5.62,7.66,4.80,28.29,1.30
lcs_wavefront,500000,912.1,2,520.9,1.75,529.6,1.72,856.2,1.07
lcs_wavefront,500000,912.1,4,322.0,2.83,446.8,2.04,858.0,1.06
lcs_wavefront,500000,912.1,8,240.6,3.79,338.8,2.69,855.5,1.07
lcs_wavefront,500000,912.1,16,182.3,5.00,207.8,4.39,857.2,1.06
