benchmark,N,D,sequential_baseline_s,P,TALM_time_s,TALM_speedup,GHC_Strategies_time_s,GHC_Strategies_speedup,GHC_par_pseq_time_s,GHC_par_pseq_speedup
self_attention,6144,512,80.5,2,44.8,1.81,61.4,1.31,65.0,1.24
self_attention,6144,512,80.5,4,36.3,2.22,61.0,1.32,65.3,1.23
self_attention,6144,512,80.5,8,23.4,3.44,39.7,2.03,56.7,1.42
self_attention,6144,512,80.5,16,16.0,5.04,26.7,3.01,22.4,3.59
self_attention,6656,512,95.3,2,53.4,1.78,73.8,1.29,79.3,1.20
self_attention,6656,512,95.3,4,38.0,2.51,74.4,1.28,85.9,1.11
self_attention,6656,512,95.3,8,28.4,3.35,56.0,1.70,47.5,2.01
self_attention,6656,512,95.3,16,19.4,4.91,34.0,2.80,29.7,3.21
self_attention,7168,512,111.6,2,64.8,1.72,85.8,1.30,85.5,1.30
self_attention,7168,512,111.6,4,49.0,2.28,86.0,1.30,84.8,1.32
self_attention,7168,512,111.6,8,32.8,3.40,71.1,1.57,54.7,2.04
self_attention,7168,512,111.6,16,13.5,8.24,58.2,1.92,40.3,2.77
self_attention,7680,512,129.4,2,75.7,1.71,100.3,1.29,101.8,1.27
self_attention,7680,512,129.4,4,57.6,2.25,107.2,1.21,111.1,1.16
self_attention,7680,512,129.4,8,38.2,3.39,85.6,1.51,90.6,1.43
self_attention,7680,512,129.4,16,16.3,7.96,45.2,2.86,40.4,3.20
self_attention,8192,512,148.2,2,90.4,1.64,131.1,1.11,122.2,1.21
self_attention,8192,512,148.2,4,70.1,2.11,122.9,1.21,113.7,1.30
self_attention,8192,512,148.2,8,43.8,3.39,57.9,1.69,98.0,1.51
self_attention,8192,512,148.2,16,18.2,8.16,50.3,2.94,46.4,3.20
