benchmark,N,sequential_baseline_s,P,TALM_time_s,TALM_speedup,GHC_Strategies_time_s,GHC_Strategies_speedup,GHC_par_pseq_time_s,GHC_par_pseq_speedup
text_search,7000,146.4,2,67.3,2.18,78.4,1.87,87.0,1.68
text_search,7000,146.4,4,39.5,3.70,143.6,1.02,146.7,1.00
text_search,7000,146.4,8,22.6,6.48,131.1,1.12,139.9,1.05
text_search,7000,146.4,16,18.6,7.86,125.3,1.17,132.7,1.10
text_search,8500,169.7,2,80.9,2.10,104.8,1.62,99.0,1.71
text_search,8500,169.7,4,48.0,3.54,161.0,1.05,182.3,0.93
text_search,8500,169.7,8,31.3,5.43,172.2,0.99,179.2,0.95
text_search,8500,169.7,16,22.4,7.59,155.4,1.09,155.9,1.09
text_search,10000,209.1,2,96.3,2.17,109.9,1.90,120.4,1.74
text_search,10000,209.1,4,55.2,3.79,190.6,1.10,204.0,1.02
text_search,10000,209.1,8,37.8,5.53,192.3,1.09,211.8,0.99
text_search,10000,209.1,16,25.6,8.17,173.7,1.20,176.6,1.18
text_search,11500,241.2,2,109.0,2.21,128.6,1.86,184.7,1.79
text_search,11500,241.2,4,65.0,3.71,229.9,1.05,251.7,0.96
text_search,11500,241.2,8,40.8,5.91,226.1,1.07,229.7,1.05
text_search,11500,241.2,16,28.5,8.45,199.9,1.21,218.1,1.11
text_search,13000,272.0,2,123.3,2.21,135.3,2.01,188.2,1.45
text_search,13000,272.0,4,72.9,3.73,254.6,1.07,267.8,1.02
text_search,13000,272.0,8,42.4,6.41,261.7,1.03,278.8,0.98
text_search,13000,272.0,16,33.5,8.13,225.6,1.21,235.4,1.16
